time,BSSID,latitude,longitude
1365100696,dc:7b:94:87:17:bf,43.7056301,-72.28927940000001
1365100696,dc:7b:94:87:2e:3a,43.7056301,-72.28927940000001
1365100696,dc:7b:94:87:45:cf,43.7056301,-72.28927940000001
1365101896,dc:7b:94:87:17:bf,43.705610899999996,-72.28918370000001
1365101896,dc:7b:94:87:45:cf,43.705610899999996,-72.28918370000001
1365103096,dc:7b:94:87:17:bf,43.705621,-72.2892224
1365103096,dc:7b:94:87:2e:3a,43.705621,-72.2892224
1365103096,dc:7b:94:87:45:cf,43.705621,-72.2892224
1365528742,dc:7b:94:87:17:bf,43.7056409,-72.28928859999999
1365528742,dc:7b:94:87:2e:3a,43.7056409,-72.28928859999999
1365528742,dc:7b:94:87:45:c0,43.7056409,-72.28928859999999
1365529942,dc:7b:94:87:17:bf,43.7055919,-72.2892005
1365529942,dc:7b:94:87:45:c0,43.7055919,-72.2892005
1365531142,dc:7b:94:87:17:bf,43.7055896,-72.28923320000001
1365531142,dc:7b:94:87:45:cf,43.7055896,-72.28923320000001
1365532342,dc:7b:94:87:17:bf,43.705603499999995,-72.28922800000001
1365532342,dc:7b:94:87:45:cf,43.705603499999995,-72.28922800000001
1365533542,dc:7b:94:87:17:b0,43.7056501,-72.2892893
1365533542,dc:7b:94:87:45:cf,43.7056501,-72.2892893
1365534742,dc:7b:94:87:17:bf,43.7056105,-72.2892952
1365534742,dc:7b:94:87:45:cf,43.7056105,-72.2892952
1365535942,dc:7b:94:87:17:b0,43.7056212,-72.2892305
1365535942,dc:7b:94:87:45:cf,43.7056212,-72.2892305
1365702742,dc:7b:94:87:17:bf,43.7056184,-72.28919920000001
1365702742,dc:7b:94:87:45:cf,43.7056184,-72.28919920000001
1365703942,dc:7b:94:87:17:bf,43.7056347,-72.2892318
1365703942,dc:7b:94:87:45:cf,43.7056347,-72.2892318
1365705142,dc:7b:94:87:17:bf,43.7056268,-72.289236
1365705142,dc:7b:94:87:45:cf,43.7056268,-72.289236
1365706342,dc:7b:94:87:17:bf,43.705625899999994,-72.28920059999999
1365706342,dc:7b:94:87:45:cf,43.705625899999994,-72.28920059999999
1365707542,dc:7b:94:87:17:bf,43.705608899999994,-72.2891786
1365707542,dc:7b:94:87:45:cf,43.705608899999994,-72.2891786
1365708742,dc:7b:94:87:17:bf,43.705659999999995,-72.2892933
1365708742,dc:7b:94:87:45:cf,43.705659999999995,-72.2892933
1365768742,dc:7b:94:87:17:bf,43.7056675,-72.2892925
1365768742,dc:7b:94:87:2e:3a,43.7056675,-72.2892925
1365768742,dc:7b:94:87:31:b0,43.7056675,-72.2892925
1365768742,dc:7b:94:87:45:cf,43.7056675,-72.2892925
1365769942,dc:7b:94:87:17:bf,43.7056179,-72.28923929999999
1365769942,dc:7b:94:87:2e:3a,43.7056179,-72.28923929999999
1365769942,dc:7b:94:87:45:cf,43.7056179,-72.28923929999999
1365772342,dc:7b:94:87:17:bf,43.7056305,-72.2892297
1365772342,dc:7b:94:87:2e:3a,43.7056305,-72.2892297
1365772342,dc:7b:94:87:45:cf,43.7056305,-72.2892297
1365773542,dc:7b:94:87:17:bf,43.7056584,-72.2892007
1365773542,dc:7b:94:87:2e:3a,43.7056584,-72.2892007
1365773542,dc:7b:94:87:31:b0,43.7056584,-72.2892007
1365773542,dc:7b:94:87:45:cf,43.7056584,-72.2892007
1366135803,dc:7b:94:87:17:b0,43.7057026,-72.2893087
1366137003,dc:7b:94:87:31:bf,43.705617100000005,-72.28913409999998
1366140603,dc:7b:94:87:17:b0,43.705684999999995,-72.2892494
1366306203,dc:7b:94:87:17:bf,43.7056441,-72.28911629999999
1366306203,dc:7b:94:87:31:bf,43.7056441,-72.28911629999999
1366306203,dc:7b:94:87:45:c0,43.7056441,-72.28911629999999
1366308603,dc:7b:94:87:17:bf,43.7056777,-72.2891529
1366308603,dc:7b:94:87:31:b0,43.7056777,-72.2891529
1366308603,dc:7b:94:87:45:c0,43.7056777,-72.2891529
1366309803,dc:7b:94:87:17:bf,43.7056786,-72.289137
1366309803,dc:7b:94:87:31:b0,43.7056786,-72.289137
1366309803,dc:7b:94:87:45:c0,43.7056786,-72.289137
1366311003,dc:7b:94:87:17:b0,43.7057042,-72.2892885
1366311003,dc:7b:94:87:31:bf,43.7057042,-72.2892885
1366311003,dc:7b:94:87:45:c0,43.7057042,-72.2892885
1366312203,dc:7b:94:87:17:b0,43.7056723,-72.28920649999999
1366312203,dc:7b:94:87:31:bf,43.7056723,-72.28920649999999
1366312203,dc:7b:94:87:45:c0,43.7056723,-72.28920649999999
1366312203,dc:7b:94:87:45:cf,43.7056723,-72.28920649999999
1366313403,dc:7b:94:87:17:bf,43.7056383,-72.28904659999999
1366313403,dc:7b:94:87:31:bf,43.7056383,-72.28904659999999
1366313403,dc:7b:94:87:45:cf,43.7056383,-72.28904659999999
1366314603,dc:7b:94:87:17:bf,43.70572620000001,-72.2892922
1366314603,dc:7b:94:87:45:c0,43.70572620000001,-72.2892922
1366740603,dc:7b:94:87:17:b0,43.705723299999995,-72.2893291
1366740603,dc:7b:94:87:2e:3a,43.705723299999995,-72.2893291
1366740603,dc:7b:94:87:31:b0,43.705723299999995,-72.2893291
1366740603,dc:7b:94:87:45:c0,43.705723299999995,-72.2893291
1366741803,dc:7b:94:87:17:bf,43.705728,-72.28932320000001
1366741803,dc:7b:94:87:2e:3a,43.705728,-72.28932320000001
1366741803,dc:7b:94:87:31:b0,43.705728,-72.28932320000001
1366741803,dc:7b:94:87:45:c0,43.705728,-72.28932320000001
1366743003,dc:7b:94:87:17:b0,43.7057266,-72.2893402
1366743003,dc:7b:94:87:31:bf,43.7057266,-72.2893402
1366743003,dc:7b:94:87:45:c0,43.7057266,-72.2893402
1366744203,dc:7b:94:87:17:b0,43.7056854,-72.2893312
1366744203,dc:7b:94:87:17:bf,43.7056854,-72.2893312
1366744203,dc:7b:94:87:31:b0,43.7056854,-72.2893312
1366744203,dc:7b:94:87:45:c0,43.7056854,-72.2893312
1366745403,dc:7b:94:87:17:bf,43.7057673,-72.28933459999999
1366745403,dc:7b:94:87:31:bf,43.7057673,-72.28933459999999
1366745403,dc:7b:94:87:45:c0,43.7057673,-72.28933459999999
1366909803,dc:7b:94:87:17:bf,43.705651700000004,-72.28927440000001
1366909803,dc:7b:94:87:31:b0,43.705651700000004,-72.28927440000001
1366909803,dc:7b:94:87:45:c0,43.705651700000004,-72.28927440000001
1366913403,dc:7b:94:87:17:bf,43.7057787,-72.2893457
1366913403,dc:7b:94:87:31:bf,43.7057787,-72.2893457
1366913403,dc:7b:94:87:45:c0,43.7057787,-72.2893457
1366914603,dc:7b:94:87:17:bf,43.7057354,-72.2893453
1366914603,dc:7b:94:87:31:b0,43.7057354,-72.2893453
1366914603,dc:7b:94:87:45:c0,43.7057354,-72.2893453
1366915803,dc:7b:94:87:17:bf,43.705725,-72.2893492
1366915803,dc:7b:94:87:45:c0,43.705725,-72.2893492
1366917003,dc:7b:94:87:17:bf,43.705682,-72.2893078
1366917003,dc:7b:94:87:31:b0,43.705682,-72.2893078
1366917003,dc:7b:94:87:45:c0,43.705682,-72.2893078
1367345890,dc:7b:94:87:17:bf,43.7058263,-72.2894178
1367345890,dc:7b:94:87:45:cf,43.7058263,-72.2894178
1367347090,dc:7b:94:87:17:b0,43.705703899999996,-72.2893482
1367347090,dc:7b:94:87:45:cf,43.705703899999996,-72.2893482
1367515090,dc:7b:94:87:17:bf,43.705670700000006,-72.28927320000001
1367515090,dc:7b:94:87:2e:3a,43.705670700000006,-72.28927320000001
1367515090,dc:7b:94:87:31:bf,43.705670700000006,-72.28927320000001
1367515090,dc:7b:94:87:45:c0,43.705670700000006,-72.28927320000001
1367517490,dc:7b:94:87:17:bf,43.7056539,-72.2892672
1367518690,dc:7b:94:87:17:bf,43.7056055,-72.28925059999999
1367519890,dc:7b:94:87:17:bf,43.7056659,-72.28928979999999
1367519890,dc:7b:94:87:45:c0,43.7056659,-72.28928979999999
1367521090,dc:7b:94:87:17:bf,43.7056245,-72.2892627
1367521090,dc:7b:94:87:45:c0,43.7056245,-72.2892627
1367945722,dc:7b:94:87:17:bf,43.7058182,-72.28924029999999
1367945722,dc:7b:94:87:31:b0,43.7058182,-72.28924029999999
1367945722,dc:7b:94:87:45:cf,43.7058182,-72.28924029999999
1367946322,dc:7b:94:87:17:bf,43.7058026,-72.2892876
1367946322,dc:7b:94:87:31:b0,43.7058026,-72.2892876
1367946322,dc:7b:94:87:45:c0,43.7058026,-72.2892876
1367946922,dc:7b:94:87:17:bf,43.7057937,-72.2892839
1367946922,dc:7b:94:87:2e:3a,43.7057937,-72.2892839
1367946922,dc:7b:94:87:31:b0,43.7057937,-72.2892839
1367946922,dc:7b:94:87:45:cf,43.7057937,-72.2892839
1367947422,dc:7b:94:87:17:bf,43.7057865,-72.28923370000001
1367947422,dc:7b:94:87:2e:3a,43.7057865,-72.28923370000001
1367947422,dc:7b:94:87:31:b0,43.7057865,-72.28923370000001
1367947422,dc:7b:94:87:45:cf,43.7057865,-72.28923370000001
1367948122,dc:7b:94:87:17:b0,43.705762,-72.289351
1367948122,dc:7b:94:87:31:b0,43.705762,-72.289351
1367948122,dc:7b:94:87:45:cf,43.705762,-72.289351
1367948722,dc:7b:94:87:17:b0,43.7057338,-72.2892986
1367948722,dc:7b:94:87:31:b0,43.7057338,-72.2892986
1367948722,dc:7b:94:87:45:cf,43.7057338,-72.2892986
1367949322,dc:7b:94:87:17:b0,43.705759,-72.2893457
1367949322,dc:7b:94:87:45:cf,43.705759,-72.2893457
1367949922,dc:7b:94:87:17:b0,43.705688200000004,-72.28931309999999
1367949922,dc:7b:94:87:45:cf,43.705688200000004,-72.28931309999999
1367950522,dc:7b:94:87:17:b0,43.705724,-72.2893199
1367950522,dc:7b:94:87:2e:3a,43.705724,-72.2893199
1367950522,dc:7b:94:87:45:cf,43.705724,-72.2893199
1367951122,dc:7b:94:87:17:b0,43.705788500000004,-72.28935229999999
1367951122,dc:7b:94:87:2e:3a,43.705788500000004,-72.28935229999999
1367951122,dc:7b:94:87:31:b0,43.705788500000004,-72.28935229999999
1367951122,dc:7b:94:87:45:cf,43.705788500000004,-72.28935229999999
1367951722,dc:7b:94:87:17:b0,43.705789700000004,-72.2893884
1367951722,dc:7b:94:87:2e:3a,43.705789700000004,-72.2893884
1367951722,dc:7b:94:87:45:c0,43.705789700000004,-72.2893884
1367952322,dc:7b:94:87:17:b0,43.7057898,-72.2893873
1367952322,dc:7b:94:87:45:cf,43.7057898,-72.2893873
1367952922,dc:7b:94:87:17:b0,43.7057788,-72.28938050000001
1367952922,dc:7b:94:87:45:cf,43.7057788,-72.28938050000001
1367953522,dc:7b:94:87:17:b0,43.705760299999994,-72.2893365
1367953522,dc:7b:94:87:45:cf,43.705760299999994,-72.2893365
1367954122,dc:7b:94:87:17:b0,43.7057537,-72.289339
1367954122,dc:7b:94:87:31:b0,43.7057537,-72.289339
1367954122,dc:7b:94:87:45:cf,43.7057537,-72.289339
1367954722,dc:7b:94:87:17:b0,43.7057788,-72.2894018
1367954722,dc:7b:94:87:45:cf,43.7057788,-72.2894018
1367955322,dc:7b:94:87:17:b0,43.705802500000004,-72.2893774
1367955322,dc:7b:94:87:31:b0,43.705802500000004,-72.2893774
1367955322,dc:7b:94:87:45:cf,43.705802500000004,-72.2893774
1368121522,dc:7b:94:87:17:b0,43.7057809,-72.289303
1368121522,dc:7b:94:87:31:b0,43.7057809,-72.289303
1368121522,dc:7b:94:87:45:c0,43.7057809,-72.289303
1368122122,dc:7b:94:87:17:b0,43.7057321,-72.2893125
1368122122,dc:7b:94:87:45:cf,43.7057321,-72.2893125
1368122722,dc:7b:94:87:17:bf,43.7057825,-72.2893848
1368122722,dc:7b:94:87:45:cf,43.7057825,-72.2893848
1368123322,dc:7b:94:87:17:b0,43.7058088,-72.2893819
1368123322,dc:7b:94:87:31:b0,43.7058088,-72.2893819
1368123322,dc:7b:94:87:45:cf,43.7058088,-72.2893819
1368123922,dc:7b:94:87:17:bf,43.7057702,-72.2893537
1368123922,dc:7b:94:87:2e:3a,43.7057702,-72.2893537
1368123922,dc:7b:94:87:45:c0,43.7057702,-72.2893537
1368125122,dc:7b:94:87:17:b0,43.7057234,-72.2893233
1368125122,dc:7b:94:87:45:c0,43.7057234,-72.2893233
1368125722,dc:7b:94:87:17:bf,43.705746999999995,-72.2893031
1368125722,dc:7b:94:87:2e:3a,43.705746999999995,-72.2893031
1368125722,dc:7b:94:87:31:b0,43.705746999999995,-72.2893031
1368125722,dc:7b:94:87:45:c0,43.705746999999995,-72.2893031
1368126322,dc:7b:94:87:17:bf,43.705800599999996,-72.2893593
1368126322,dc:7b:94:87:31:b0,43.705800599999996,-72.2893593
1368126322,dc:7b:94:87:45:c0,43.705800599999996,-72.2893593
1368126922,dc:7b:94:87:17:b0,43.705796899999996,-72.28938509999999
1368126922,dc:7b:94:87:31:b0,43.705796899999996,-72.28938509999999
1368126922,dc:7b:94:87:45:c0,43.705796899999996,-72.28938509999999
1368127522,dc:7b:94:87:17:b0,43.7057945,-72.2893811
1368127522,dc:7b:94:87:45:c0,43.7057945,-72.2893811
1368128122,dc:7b:94:87:17:b0,43.705785299999995,-72.2893886
1368128122,dc:7b:94:87:45:c0,43.705785299999995,-72.2893886
1368128722,dc:7b:94:87:17:b0,43.705792100000004,-72.28938509999999
1368128722,dc:7b:94:87:2e:3a,43.705792100000004,-72.28938509999999
1368128722,dc:7b:94:87:31:b0,43.705792100000004,-72.28938509999999
1368128722,dc:7b:94:87:45:c0,43.705792100000004,-72.28938509999999
1368554164,dc:7b:94:87:17:bf,43.7057766,-72.2893375
1368554164,dc:7b:94:87:2e:3a,43.7057766,-72.2893375
1368554164,dc:7b:94:87:31:b0,43.7057766,-72.2893375
1368554164,dc:7b:94:87:45:cf,43.7057766,-72.2893375
1368554764,dc:7b:94:87:17:bf,43.7057795,-72.28935870000001
1368554764,dc:7b:94:87:31:b0,43.7057795,-72.28935870000001
1368554764,dc:7b:94:87:45:cf,43.7057795,-72.28935870000001
1368555364,dc:7b:94:87:17:bf,43.705803700000004,-72.2893512
1368555364,dc:7b:94:87:45:cf,43.705803700000004,-72.2893512
1368555964,dc:7b:94:87:17:bf,43.7057578,-72.289315
1368555964,dc:7b:94:87:45:cf,43.7057578,-72.289315
1368556564,dc:7b:94:87:17:bf,43.7057695,-72.28933640000001
1368556564,dc:7b:94:87:45:cf,43.7057695,-72.28933640000001
1368557164,dc:7b:94:87:17:bf,43.705760600000005,-72.2893161
1368557164,dc:7b:94:87:45:cf,43.705760600000005,-72.2893161
1368557764,dc:7b:94:87:17:bf,43.7057706,-72.28932209999999
1368557764,dc:7b:94:87:45:cf,43.7057706,-72.28932209999999
1368558364,dc:7b:94:87:17:bf,43.705762299999996,-72.2892922
1368558364,dc:7b:94:87:45:cf,43.705762299999996,-72.2892922
1368559564,dc:7b:94:87:17:bf,43.705732299999994,-72.2892768
1368559564,dc:7b:94:87:45:cf,43.705732299999994,-72.2892768
1368560164,dc:7b:94:87:17:bf,43.7057674,-72.28927490000001
1368560164,dc:7b:94:87:31:b0,43.7057674,-72.28927490000001
1368560164,dc:7b:94:87:45:cf,43.7057674,-72.28927490000001
1368560764,dc:7b:94:87:17:bf,43.7057283,-72.28928309999999
1368560764,dc:7b:94:87:45:cf,43.7057283,-72.28928309999999
1368727564,dc:7b:94:87:17:bf,43.7057414,-72.2892964
1368727564,dc:7b:94:87:45:cf,43.7057414,-72.2892964
1368728164,dc:7b:94:87:17:bf,43.705749100000006,-72.28930190000001
1368728164,dc:7b:94:87:45:cf,43.705749100000006,-72.28930190000001
1368728764,dc:7b:94:87:17:bf,43.7057677,-72.28929129999999
1368728764,dc:7b:94:87:45:cf,43.7057677,-72.28929129999999
1368729364,dc:7b:94:87:17:bf,43.7057507,-72.28927809999999
1368729364,dc:7b:94:87:2e:3a,43.7057507,-72.28927809999999
1368729364,dc:7b:94:87:45:cf,43.7057507,-72.28927809999999
1368729964,dc:7b:94:87:17:bf,43.705751,-72.2892564
1368729964,dc:7b:94:87:31:b0,43.705751,-72.2892564
1368729964,dc:7b:94:87:45:cf,43.705751,-72.2892564
1368730564,dc:7b:94:87:17:bf,43.7057773,-72.2892489
1368730564,dc:7b:94:87:45:cf,43.7057773,-72.2892489
1368731164,dc:7b:94:87:17:bf,43.705740999999996,-72.289292
1368731164,dc:7b:94:87:45:cf,43.705740999999996,-72.289292
1368731764,dc:7b:94:87:17:bf,43.7057467,-72.2892808
1368731764,dc:7b:94:87:2e:3a,43.7057467,-72.2892808
1368731764,dc:7b:94:87:45:cf,43.7057467,-72.2892808
1368732364,dc:7b:94:87:17:bf,43.7057686,-72.2892897
1368732364,dc:7b:94:87:2e:3a,43.7057686,-72.2892897
1368732364,dc:7b:94:87:45:cf,43.7057686,-72.2892897
1368733564,dc:7b:94:87:17:bf,43.705755200000006,-72.28928
1368733564,dc:7b:94:87:45:c0,43.705755200000006,-72.28928
1369159197,dc:7b:94:87:17:b0,43.7057399,-72.2892593
1369159197,dc:7b:94:87:17:bf,43.7057399,-72.2892593
1369159197,dc:7b:94:87:31:b0,43.7057399,-72.2892593
1369159197,dc:7b:94:87:45:cf,43.7057399,-72.2892593
1369159797,dc:7b:94:87:17:bf,43.7057669,-72.28926009999999
1369159797,dc:7b:94:87:2e:3a,43.7057669,-72.28926009999999
1369159797,dc:7b:94:87:45:cf,43.7057669,-72.28926009999999
1369160397,dc:7b:94:87:17:bf,43.7057723,-72.2892668
1369160397,dc:7b:94:87:31:b0,43.7057723,-72.2892668
1369160397,dc:7b:94:87:45:cf,43.7057723,-72.2892668
1369160997,dc:7b:94:87:17:bf,43.7057664,-72.28928259999999
1369160997,dc:7b:94:87:31:b0,43.7057664,-72.28928259999999
1369160997,dc:7b:94:87:45:cf,43.7057664,-72.28928259999999
1369161597,dc:7b:94:87:17:bf,43.705740500000005,-72.289234
1369161597,dc:7b:94:87:45:c0,43.705740500000005,-72.289234
1369162197,dc:7b:94:87:17:bf,43.705783399999994,-72.28926209999999
1369162197,dc:7b:94:87:31:b0,43.705783399999994,-72.28926209999999
1369162197,dc:7b:94:87:45:cf,43.705783399999994,-72.28926209999999
1369162797,dc:7b:94:87:17:bf,43.705754,-72.28924649999999
1369162797,dc:7b:94:87:45:cf,43.705754,-72.28924649999999
1369163397,dc:7b:94:87:17:bf,43.7058105,-72.2892622
1369163397,dc:7b:94:87:31:b0,43.7058105,-72.2892622
1369163397,dc:7b:94:87:45:c0,43.7058105,-72.2892622
1369163997,dc:7b:94:87:17:bf,43.7057713,-72.2892568
1369163997,dc:7b:94:87:45:cf,43.7057713,-72.2892568
1369164597,dc:7b:94:87:17:bf,43.7057423,-72.2892657
1369164597,dc:7b:94:87:31:b0,43.7057423,-72.2892657
1369164597,dc:7b:94:87:45:cf,43.7057423,-72.2892657
1369331397,dc:7b:94:87:17:b0,43.7057451,-72.28924079999999
1369331397,dc:7b:94:87:31:bf,43.7057451,-72.28924079999999
1369331397,dc:7b:94:87:45:c0,43.7057451,-72.28924079999999
1369331997,dc:7b:94:87:31:bf,43.705765299999996,-72.2891937
1369331997,dc:7b:94:87:45:c0,43.705765299999996,-72.2891937
1369332597,dc:7b:94:87:45:cf,43.7057456,-72.2892298
1369333197,dc:7b:94:87:45:cf,43.705741499999995,-72.2892029
1369333797,dc:7b:94:87:45:cf,43.70580220000001,-72.28920190000001
1369334397,dc:7b:94:87:31:bf,43.705803,-72.289237
1369334397,dc:7b:94:87:45:cf,43.705803,-72.289237
1369334997,dc:7b:94:87:17:b0,43.7057999,-72.2892702
1369334997,dc:7b:94:87:45:cf,43.7057999,-72.2892702
